@relation 'Giraph data 1.0-1.1'

@attribute CBO numeric
@attribute NOC numeric
@attribute WMC numeric
@attribute RFC numeric
@attribute DIT numeric
@attribute LCOM numeric
@attribute SLOC numeric
@attribute change {no,yes}

@data
2,0,8,21,1,100,20,no
11,0,17,30,0,0,82,no
1,0,2,15,1,100,6,no
2,0,12,25,1,100,28,no
4,0,11,24,1,100,29,no
6,0,18,31,1,100,42,no
1,24,4,17,0,0,19,yes
1,0,2,19,1,0,10,no
1,0,2,19,1,0,10,no
1,0,2,19,1,0,11,no
3,0,2,19,1,0,11,yes
3,0,2,19,1,0,11,no
1,0,2,19,1,0,11,no
1,0,2,19,1,0,10,no
1,0,2,19,1,0,10,no
3,0,2,19,1,0,11,yes
3,0,2,19,1,0,11,no
1,0,2,19,1,0,10,no
1,0,2,19,1,0,10,no
1,0,2,19,1,0,10,no
3,0,2,19,1,0,11,no
3,0,2,19,1,0,11,no
1,0,2,19,1,0,10,no
1,0,2,19,1,0,10,no
1,0,2,19,1,0,10,no
3,0,2,19,1,0,11,no
3,0,2,19,1,0,11,no
1,0,2,19,1,0,10,no
1,0,2,19,1,0,10,no
1,0,2,19,1,0,10,no
36,0,5,36,1,0,117,yes
4,0,3,16,0,0,40,no
6,0,5,18,0,0,58,no
6,0,5,18,0,0,58,no
6,0,5,18,0,0,58,no
6,0,5,18,0,0,58,no
8,0,5,20,1,72,59,yes
1,0,2,19,1,0,11,no
15,0,6,24,1,66,122,no
6,0,2,35,2,0,27,no
2,0,4,32,2,0,32,yes
4,0,12,25,0,90,78,yes
9,5,5,18,0,70,55,yes
13,0,3,21,1,0,29,yes
14,0,3,21,1,81,198,no
6,0,1,34,2,0,14,no
7,0,8,32,1,80,100,no
16,0,3,21,1,44,36,yes
21,0,3,21,1,38,94,yes
11,0,3,16,1,66,41,no
7,0,9,22,1,55,38,no
8,0,3,16,1,33,32,yes
3,0,6,19,1,77,33,no
4,0,2,15,1,0,13,no
28,2,44,57,0,95,686,yes
2,0,6,19,1,0,22,yes
20,14,18,31,0,90,178,yes
10,0,6,19,0,93,51,yes
14,0,11,24,0,72,94,yes
3,2,3,16,0,0,19,no
5,2,5,18,0,30,29,no
10,0,8,21,0,57,67,yes
16,0,4,17,0,0,98,yes
1,0,3,16,0,0,53,no
21,1,9,41,1,0,168,yes
5,0,2,15,0,0,13,yes
19,0,10,42,1,60,117,yes
6,0,2,15,0,0,16,yes
14,2,19,32,0,68,132,yes
4,0,8,21,0,58,48,no
5,0,1,14,0,0,16,no
4,0,2,15,1,50,35,yes
2,0,6,19,0,16,33,no
6,0,2,21,2,0,30,yes
7,0,2,15,0,0,13,yes
13,0,2,15,1,30,46,yes
16,0,2,15,1,33,62,yes
7,0,9,22,0,68,46,no
12,2,6,19,1,70,93,yes
11,0,4,17,1,50,80,yes
8,0,1,14,1,0,44,yes
12,0,3,16,1,33,96,yes
19,0,4,17,1,56,119,yes
2,0,2,15,0,0,8,no
6,0,3,16,0,33,25,no
6,0,2,21,2,0,32,yes
40,0,12,25,0,82,559,yes
4,0,2,15,0,0,16,yes
15,0,7,20,0,51,59,yes
7,0,3,16,0,0,19,yes
25,0,5,18,0,67,211,yes
17,0,7,20,0,45,79,yes
19,0,10,23,0,72,89,yes
41,0,14,27,0,75,300,yes
32,0,7,20,0,57,149,yes
10,0,6,19,0,61,113,yes
10,0,2,15,0,0,47,no
6,0,6,19,1,50,116,yes
10,0,2,15,0,0,63,no
25,0,7,20,0,68,101,yes
6,2,7,32,1,14,29,no
4,3,6,38,2,33,27,no
5,0,4,29,1,0,14,no
7,0,9,34,1,55,44,no
11,0,4,42,3,0,45,yes
10,0,4,42,3,0,43,yes
10,0,7,32,1,35,44,yes
16,0,7,32,1,66,74,yes
10,0,7,32,1,71,32,yes
9,0,4,42,3,0,40,yes
9,2,6,31,1,66,47,yes
6,0,5,36,2,0,29,yes
8,0,5,36,2,0,32,yes
6,7,12,25,0,79,48,yes
36,0,4,17,0,0,172,yes
18,0,2,15,0,0,44,yes
10,0,5,23,1,0,24,yes
9,0,5,23,1,0,24,yes
6,0,8,21,0,62,76,yes
7,0,4,17,0,54,54,yes
17,0,9,22,0,76,67,yes
39,0,10,23,0,65,205,yes
0,0,0,13,0,0,9,yes
6,6,8,21,0,62,41,yes
10,0,4,17,0,62,27,yes
5,0,9,30,1,55,32,yes
8,0,15,36,1,71,90,yes
2,11,2,15,0,0,14,yes
5,0,7,28,1,42,28,yes
23,0,51,64,0,92,267,yes
14,1,100,113,1,0,356,yes
42,0,60,173,2,79,327,yes
5,0,8,29,1,37,33,yes
5,0,7,28,1,42,28,yes
5,0,10,31,1,50,35,yes
8,0,2,15,0,0,40,no
0,0,0,13,0,0,1,no
0,0,0,13,0,0,1,no
0,0,0,13,0,0,1,no
16,0,12,25,0,59,128,yes
5,0,12,25,0,16,48,no
6,0,12,28,1,84,73,yes
7,0,10,26,1,80,61,yes
2,2,3,16,0,16,15,no
10,0,10,25,2,9,65,yes
