@relation 'gora data 0.4-0.5'

@attribute CBO numeric
@attribute NOC numeric
@attribute WMC numeric
@attribute RFC numeric
@attribute DIT numeric
@attribute LCOM numeric
@attribute SLOC numeric
@attribute change {no,yes}

@data
11,1,23,36,0,0,153,no
5,0,28,41,0,92,148,no
2,0,10,46,1,0,61,no
4,0,4,17,0,0,50,no
1,0,2,48,1,0,8,no
6,0,5,33,1,60,27,no
3,0,0,13,0,0,7,no
58,0,36,70,1,89,785,yes
8,0,3,62,1,0,14,no
10,0,3,16,0,0,52,no
3,0,3,22,0,16,15,no
4,0,2,15,0,0,24,no
10,0,7,20,0,0,115,no
1,0,6,19,0,41,23,no
11,0,2,21,2,0,14,no
1,0,2,48,1,0,8,no
5,0,4,32,1,50,27,no
5,0,5,33,1,50,46,no
17,1,27,85,2,89,168,no
12,0,10,95,3,60,82,no
20,1,12,25,0,76,84,no
6,0,2,27,1,0,10,no
9,0,6,28,1,62,71,no
6,2,11,24,0,87,53,no
4,0,7,53,1,64,30,no
17,0,9,37,1,72,81,no
3,0,2,98,0,50,15,no
2,0,3,99,0,66,16,no
5,0,5,29,1,70,46,no
17,0,7,31,1,71,126,no
6,0,2,15,0,50,51,no
3,0,4,17,1,75,24,no
18,0,6,19,0,100,170,no
12,0,12,25,1,73,136,no
14,0,12,25,1,75,164,no
8,0,6,19,1,79,65,no
15,0,11,24,0,72,165,no
20,0,27,40,0,81,289,yes
8,0,11,24,0,85,163,yes
11,0,4,17,0,59,101,no
46,0,20,54,1,83,383,yes
4,0,13,26,0,0,41,yes
12,0,15,74,1,86,56,no
7,0,2,15,0,0,41,no
16,0,17,30,1,95,193,yes
10,0,5,18,0,90,187,no
20,0,16,29,0,83,252,no
17,0,11,33,1,78,83,no
0,0,4,17,0,50,16,no
11,0,29,69,1,92,183,no
8,0,5,31,1,70,27,no
4,0,5,18,0,65,113,no
7,0,11,24,0,72,88,no
35,0,36,64,1,90,460,yes
15,0,28,84,1,10,272,no
9,1,27,55,2,89,377,yes
8,0,28,41,1,84,162,yes
5,0,19,74,3,0,57,no
8,1,15,43,2,86,191,yes
6,0,12,25,1,69,71,yes
3,0,7,50,3,0,21,no
10,1,15,43,2,86,191,yes
8,0,12,25,1,69,71,yes
3,0,7,50,3,0,21,no
3,0,40,53,0,95,79,no
7,1,12,40,2,86,144,yes
5,0,8,21,1,62,48,yes
2,0,4,44,3,0,12,no
7,1,12,40,2,86,144,yes
5,0,8,21,1,62,48,yes
2,0,4,44,3,0,12,no
12,1,27,55,2,89,380,yes
11,0,28,41,1,83,164,yes
6,0,19,74,3,0,57,no
14,0,7,20,1,71,70,no
4,0,1,19,2,0,8,no
17,0,6,19,1,0,79,no
7,0,1,19,2,0,17,no
5,0,1,17,2,0,13,no
5,0,1,14,0,0,6,yes
18,0,3,16,0,76,108,no
13,0,10,23,0,44,62,no
22,0,14,27,0,61,120,no
20,0,12,25,0,56,107,no
11,0,3,16,0,0,52,no
10,0,3,16,0,0,47,no
8,5,9,22,0,66,53,no
5,0,8,30,1,50,33,no
8,0,3,16,0,16,18,no
9,0,3,16,0,11,22,no
4,0,4,35,2,50,27,no
1,0,2,48,1,0,8,no
4,2,3,31,1,0,14,no
4,0,5,36,2,40,27,no
3,0,6,19,0,16,43,no
3,0,4,17,0,37,96,no
9,0,9,22,0,70,78,no
42,0,38,72,1,89,632,yes
11,0,39,52,0,92,188,no
17,0,14,73,1,42,144,no
2,1,2,15,0,0,11,no
16,0,3,18,1,66,72,no
19,0,4,17,0,75,141,no
11,0,9,22,0,73,93,no
11,0,3,16,0,50,38,no
21,0,2,15,0,50,57,no
6,1,6,19,1,61,37,no
20,0,10,23,1,80,79,no
9,0,10,23,1,55,48,no
6,3,5,18,1,0,75,no
