@relation 'Jabref 3.1-3.2 data'

@attribute CBO numeric
@attribute NOC numeric
@attribute WMC numeric
@attribute RFC numeric
@attribute DIT numeric
@attribute LCOM numeric
@attribute SLOC numeric
@attribute change {no,yes}

@data
11,0,4,17,0,67,55,no
7,0,3,16,0,0,21,no
19,0,8,21,0,75,97,yes
16,0,13,26,0,53,236,no
15,0,3,16,0,0,30,yes
3,0,2,15,0,0,33,no
3,0,1,14,0,0,23,no
4,0,1,14,0,0,22,yes
9,0,4,17,0,25,90,no
16,0,5,18,0,62,115,no
2,0,2,15,0,0,16,no
12,0,8,21,0,83,189,yes
7,0,3,16,0,0,58,no
11,0,10,23,0,55,64,yes
7,0,5,18,0,60,34,no
10,0,5,18,0,60,39,no
6,0,2,15,0,0,29,no
5,0,8,21,0,79,209,yes
3,0,7,20,0,0,100,no
8,0,5,18,0,0,239,yes
4,0,8,21,0,0,91,no
5,0,1,14,0,0,56,yes
2,0,2,15,0,0,22,no
3,0,1,14,0,0,44,no
4,0,3,16,0,66,189,yes
2,0,3,16,0,0,25,no
9,0,2,15,0,0,24,yes
11,0,2,15,0,0,33,yes
8,0,2,15,0,0,20,no
19,0,33,46,0,0,534,yes
9,0,2,15,0,0,26,yes
2,0,2,15,0,0,22,no
28,0,31,44,0,89,836,yes
3,0,3,16,0,75,15,yes
1,0,2,15,0,0,9,no
4,0,2,15,0,0,9,yes
9,0,3,16,0,0,41,yes
1,0,2,15,0,0,9,yes
1,0,1,50,0,0,5,no
8,0,2,15,0,0,20,no
6,11,8,77,0,68,29,yes
20,0,4,754,0,62,106,yes
42,0,12,25,0,83,327,yes
14,0,3,80,1,33,22,yes
14,0,3,80,1,66,98,yes
13,0,3,80,1,45,46,yes
15,0,3,80,1,53,28,yes
11,0,8,21,0,65,132,yes
5,0,6,19,0,40,51,yes
20,0,5,27,2,55,44,yes
12,0,3,80,1,16,45,yes
4,0,2,834,0,0,13,no
15,0,7,84,1,66,70,yes
2,0,1,14,0,0,10,yes
12,0,3,80,1,50,34,yes
15,0,3,80,1,58,37,yes
18,0,3,80,1,45,66,yes
15,0,3,80,1,27,51,yes
14,0,3,80,1,50,32,yes
15,0,8,21,0,75,79,no
6,0,1,18,0,0,15,yes
23,0,6,756,0,63,139,yes
8,0,10,23,0,77,81,yes
2,0,1,14,0,0,6,no
29,0,1,751,0,0,129,yes
3,0,3,16,0,0,21,no
4,0,6,22,0,55,33,no
30,6,12,25,0,84,180,yes
25,0,7,20,0,57,177,yes
21,0,2,38,1,0,87,yes
35,0,3,21,1,22,87,no
53,0,10,23,0,86,316,yes
8,0,1,14,0,0,48,yes
11,0,11,24,0,73,199,yes
4,5,1,14,0,0,37,no
3,0,1,14,0,0,7,no
3,0,1,14,0,0,12,no
3,0,1,14,0,0,26,no
2,0,1,14,0,0,12,no
3,0,1,14,0,0,29,no
2,0,1,14,0,0,14,no
3,0,1,14,0,0,6,no
2,0,1,14,0,0,14,no
3,0,1,14,0,0,6,no
2,0,1,14,0,0,14,no
3,0,1,14,0,0,8,no
3,0,1,14,0,0,6,no
1,0,1,14,0,0,8,no
3,0,1,14,0,0,6,no
2,0,1,14,0,0,14,no
3,0,1,14,0,0,6,no
2,0,1,14,0,0,14,no
3,0,1,14,0,0,8,no
3,0,1,14,0,0,6,no
2,0,1,14,0,0,14,no
3,0,1,14,0,0,6,no
2,0,6,19,0,0,32,no
3,0,1,14,0,0,6,no
2,0,1,14,0,0,14,no
3,0,1,14,0,0,6,no
2,0,1,14,0,0,14,no
3,0,1,14,0,0,6,no
2,0,1,14,0,0,14,no
2,0,1,14,0,0,14,no
3,0,1,14,0,0,7,no
3,0,1,14,0,0,7,no
3,0,1,14,0,0,6,no
5,0,1,14,0,0,16,no
4,0,2,15,0,0,16,no
10,0,5,19,1,70,263,yes
2,0,2,15,0,0,33,no
2,0,4,17,0,25,20,no
4,0,1,14,0,0,34,no
3,0,2,15,0,0,33,no
9,1,3,16,0,66,81,yes
4,0,1,17,1,0,11,no
5,0,1,14,0,0,13,yes
2,0,2,15,0,0,11,no
4,0,1,14,0,0,9,yes
2,0,1,14,0,0,21,yes
4,0,1,14,0,0,9,no
11,0,2,15,0,0,50,yes
2,0,1,14,0,0,14,no
8,0,1,14,0,0,299,yes
2,0,1,14,0,0,6,no
2,0,1,14,0,0,6,no
2,0,1,14,0,0,50,no
9,0,1,14,0,0,124,yes
0,0,1,83,0,0,186,no
5,0,1,14,0,0,27,no
2,0,1,14,0,0,11,no
2,0,2,16,1,0,26,yes
3,0,1,14,0,0,17,no
3,0,1,14,0,0,51,no
5,0,1,14,0,0,6,no
2,0,1,14,0,0,16,no
6,0,4,17,0,75,70,yes
2,0,1,14,0,0,6,no
2,0,1,14,0,0,11,no
3,0,3,16,0,0,13,no
3,0,2,15,0,0,9,no
3,0,1,14,0,0,13,no
3,0,1,14,0,0,14,yes
6,0,1,14,0,0,59,yes
3,0,1,14,0,0,19,yes
2,0,2,15,0,0,18,no
4,0,1,14,0,0,12,no
2,0,2,16,1,0,22,no
5,0,2,15,0,0,24,no
6,0,1,14,0,0,18,no
4,0,1,14,0,0,14,no
0,0,1,83,0,0,226,no
10,0,2,15,0,50,140,yes
2,0,1,14,0,0,6,yes
2,0,1,14,0,0,6,yes
2,0,2,16,1,0,24,no
18,0,4,18,1,68,161,yes
2,0,4,17,0,37,17,no
7,0,3,16,0,66,61,yes
0,0,1,83,0,0,111,no
2,0,2,15,0,0,26,no
5,0,7,20,0,14,56,no
14,0,6,19,0,61,111,yes
31,0,10,23,0,71,310,yes
11,0,7,20,0,14,80,no
13,0,12,25,0,81,267,yes
14,0,8,21,0,0,64,no
2,0,4,17,0,0,66,no
1,0,1,14,0,0,8,yes
4,0,4,17,0,75,45,yes
22,0,2,27,1,0,29,no
22,0,2,27,1,0,29,no
10,0,2,27,1,0,11,no
21,0,4,17,0,62,162,no
21,0,4,17,0,58,167,no
33,0,7,32,1,0,81,no
32,0,7,32,1,0,69,no
10,0,2,27,1,0,13,no
8,0,4,17,0,41,36,yes
12,0,3,39,1,22,34,no
38,0,10,28,1,60,275,yes
4,0,9,53,0,73,50,no
16,0,9,22,0,76,97,yes
9,0,4,43,0,50,31,yes
10,0,2,15,0,0,32,no
25,0,8,21,0,73,217,yes
41,0,11,24,0,65,365,yes
18,0,4,846,0,45,71,no
24,0,11,710,0,77,289,yes
7,1,22,35,0,72,117,yes
35,0,8,758,0,83,276,yes
9,0,1,14,0,0,10,no
9,0,3,39,1,44,31,yes
7,0,1,14,0,0,12,no
8,0,5,35,0,0,48,no
5,0,1,14,0,0,9,yes
7,0,1,14,0,0,16,no
4,0,4,26,0,0,18,no
25,0,8,21,0,73,199,yes
11,0,2,15,0,0,20,yes
14,0,3,16,0,33,30,yes
13,0,4,22,1,33,54,yes
