@relation 'maven 3.3.3-3.3.9'

@attribute CBO numeric
@attribute NOC numeric
@attribute WMC numeric
@attribute RFC numeric
@attribute DIT numeric
@attribute LCOM numeric
@attribute SLOC numeric
@attribute change {no,yes}

@data
22,10,13,26,1,73,237,no
2,0,5,18,0,40,40,no
4,0,11,24,0,27,71,no
2,2,3,16,0,0,15,no
3,0,1,14,0,0,7,no
2,0,3,16,1,0,16,no
21,5,25,38,1,84,219,yes
3,0,6,19,0,83,57,yes
14,0,12,25,0,0,144,yes
9,0,4,17,1,0,36,yes
20,3,58,71,0,92,444,yes
7,0,12,25,1,51,88,no
1,0,1,45,0,0,8,no
6,0,3,41,2,33,27,no
1,0,3,47,0,0,17,no
20,0,2,15,1,50,87,yes
10,0,4,17,0,0,28,no
6,0,15,28,0,93,107,no
4,0,1,14,1,0,18,no
1,0,14,27,0,85,62,no
7,0,3,16,1,0,54,no
1,0,14,27,0,86,83,no
8,0,3,16,0,33,29,yes
1,0,3,47,0,0,17,no
5,0,3,41,2,33,23,no
16,0,2,15,1,50,67,no
1,0,9,58,0,57,63,no
3,2,5,49,0,0,30,no
13,0,5,37,1,68,107,no
2,0,2,19,2,0,12,no
1,1,1,19,1,0,9,no
3,0,4,53,1,0,24,no
4,0,2,22,1,0,14,no
12,0,5,18,0,80,58,yes
6,0,14,27,0,83,160,no
1,0,9,22,0,72,44,no
11,1,26,39,1,86,158,no
10,0,9,22,0,66,69,no
6,0,11,24,0,81,70,yes
8,0,7,20,0,71,62,no
8,0,6,19,0,83,44,no
10,0,11,24,0,72,290,yes
3,0,14,28,0,35,72,no
9,0,29,42,0,86,111,no
12,3,37,50,0,90,270,no
2,0,1,14,1,0,29,no
2,0,2,52,1,0,13,no
14,3,14,28,0,64,175,yes
7,0,13,41,1,61,73,no
28,0,12,25,1,79,436,yes
4,0,12,40,1,75,73,yes
8,0,4,17,0,0,61,yes
1,0,4,52,0,25,27,no
13,0,13,26,1,65,110,no
4,0,3,42,2,0,20,no
0,0,1,14,0,0,11,no
2,0,2,41,0,0,13,no
2,0,2,41,0,0,13,no
1,0,2,46,0,0,13,no
1,0,2,46,0,0,13,no
1,0,2,46,0,0,13,no
3,0,12,40,1,25,56,no
9,3,18,62,0,87,262,no
4,0,6,68,1,50,46,no
4,3,6,68,1,0,33,no
5,0,1,14,1,0,32,yes
11,0,35,48,0,93,195,yes
13,0,33,46,0,89,208,yes
20,0,12,50,2,45,178,yes
2,0,2,70,2,0,15,no
5,0,15,28,0,42,103,yes
0,0,0,25,1,0,5,no
55,1,18,31,0,91,451,yes
5,0,1,14,0,33,13,no
9,0,2,15,0,0,47,yes
11,0,5,43,2,50,66,no
7,0,2,15,0,0,39,yes
2,2,2,15,0,0,71,no
7,0,7,20,0,0,55,yes
3,0,2,15,1,0,24,no
5,0,7,22,1,14,61,yes
2,0,2,20,1,0,12,no
6,0,5,18,0,0,44,yes
3,0,1,14,1,0,16,no
8,1,5,18,0,0,47,yes
2,0,4,17,0,0,34,no
5,0,6,19,0,0,49,yes
3,0,2,15,1,0,24,no
2,0,5,20,1,19,39,no
5,0,6,19,1,0,53,no
3,0,4,17,0,0,34,no
6,0,5,73,2,60,56,no
13,0,18,31,0,78,172,yes
4,0,5,18,1,60,52,no
3,0,2,15,1,0,13,yes
2,0,4,17,0,50,26,no
3,0,12,25,0,91,48,no
15,0,13,26,0,84,130,yes
7,0,1,14,1,0,14,no
1,0,3,52,1,0,19,no
12,0,9,22,0,70,332,no
3,0,6,19,0,55,45,no
4,0,5,101,0,0,76,yes
7,0,6,19,0,73,70,no
6,0,11,24,1,90,163,no
9,0,12,25,0,80,168,no
6,0,12,25,1,0,164,no
1,0,1,45,0,0,8,no
4,0,2,84,0,0,27,no
3,0,2,70,2,0,15,no
5,0,9,22,0,55,140,no
13,0,17,30,0,38,430,yes
9,0,10,23,1,82,619,no
32,0,41,55,0,96,571,yes
1,0,2,46,0,0,12,no
1,2,2,46,0,0,12,no
6,0,9,22,0,75,95,no
8,0,4,17,0,37,26,no
5,0,2,15,0,0,39,no
4,0,7,20,0,0,82,no
7,2,5,18,0,19,33,yes
7,0,4,17,0,0,56,yes
3,0,1,14,0,0,7,no
6,0,1,14,0,0,13,no
6,2,6,19,0,58,35,no
4,0,3,16,0,0,44,yes
6,2,5,18,0,19,33,yes
9,0,3,16,0,0,50,yes
3,0,8,21,0,0,38,no
27,0,18,31,0,86,265,yes
4,0,7,20,0,71,42,no
7,1,4,17,0,73,161,yes
15,0,7,20,0,83,133,yes
1,0,1,14,1,0,16,no
6,0,13,26,0,89,67,no
22,0,4,17,0,87,176,no
3,0,1,14,0,0,9,yes
21,0,19,49,1,67,261,yes
14,0,5,18,0,60,76,yes
2,4,2,15,0,0,13,no
4,0,2,17,1,0,26,no
2,0,2,17,1,0,26,no
6,0,2,17,1,0,28,no
7,0,2,17,1,16,29,no
17,0,1,14,0,0,41,yes
2,0,20,33,0,15,84,no
2,0,9,22,0,66,39,no
4,0,61,74,0,97,207,no
80,0,36,49,0,94,1119,no
1,0,1,45,0,0,9,yes
10,0,5,18,1,40,67,no
8,2,5,18,1,19,48,no
1,0,1,19,2,0,8,no
9,0,7,25,2,71,81,yes
0,0,0,13,1,0,4,no
8,0,6,19,1,16,52,no
3,0,2,15,0,0,28,no
1,0,2,46,0,0,12,no
5,0,14,27,0,85,125,yes
14,0,6,19,1,16,88,yes
1,0,0,13,0,0,3,no
6,0,1,14,0,0,95,yes
8,0,4,17,0,50,39,no
9,0,6,19,0,61,48,yes
47,0,12,25,0,86,333,yes
10,0,2,28,2,0,15,no
22,0,7,20,0,85,112,yes
5,0,2,50,1,0,14,no
3,0,1,14,0,0,7,no
2,0,3,16,1,0,16,no
2,0,3,16,0,0,16,no
12,0,8,21,0,50,109,yes
3,0,18,48,1,0,113,no
2,0,20,33,1,0,125,no
25,0,8,21,0,0,211,yes
8,0,1,14,1,0,16,no
4,0,6,19,0,66,34,no
1,2,17,30,0,0,55,no
2,0,2,18,1,0,14,no
1,0,1,17,1,0,8,no
2,2,3,16,0,33,22,yes
17,0,115,128,0,98,987,yes
17,0,10,23,0,50,181,yes
5,0,1,14,1,0,25,no
9,0,11,24,0,81,59,yes
5,0,2,15,1,0,19,no
4,0,2,15,0,25,21,no
1,0,3,47,0,0,17,no
25,0,44,57,0,91,286,yes
5,0,7,20,0,71,41,no
4,0,8,21,0,75,43,no
14,0,18,31,0,89,129,yes
13,0,12,25,0,83,130,no
1,0,0,13,0,0,5,yes
4,0,2,18,2,0,15,no
6,1,3,16,1,33,22,no
7,0,2,15,1,0,82,no
8,0,10,23,1,44,66,yes
6,0,4,17,0,50,27,yes
2,0,2,15,0,0,20,no
10,0,6,19,0,66,73,yes
35,0,10,23,0,80,346,yes
11,0,8,21,0,25,71,yes
7,0,12,25,1,50,118,no
9,0,6,19,0,61,54,yes
20,0,3,16,0,62,168,yes
5,0,7,20,1,0,96,no
1,0,1,49,1,0,8,no
32,0,8,21,0,85,78,no
12,0,6,19,0,72,69,yes
6,0,3,16,1,0,27,no
4,0,5,18,0,0,36,yes
4,0,6,19,0,0,44,yes
4,0,2,15,0,0,37,yes
32,0,6,19,0,66,112,no
1,0,1,45,0,0,8,no
9,0,10,23,0,50,69,yes
27,0,4,17,0,87,120,yes
15,0,8,21,0,77,375,yes
11,0,3,16,0,33,58,no
4,0,26,103,0,0,242,no
29,0,3,16,1,66,94,yes
6,0,2,15,0,0,20,no
9,0,1,14,0,0,29,no
11,0,5,18,1,0,35,no
9,0,1,14,0,0,28,yes
9,0,2,15,1,0,22,no
4,0,1,14,0,0,9,no
3,0,5,18,0,0,40,no
14,0,2,15,1,0,46,no
5,0,6,19,0,62,35,no
9,0,2,15,0,0,73,no
46,0,16,29,0,87,398,yes
19,0,2,15,0,75,81,yes
16,0,6,19,0,77,148,yes
1,0,0,13,0,0,6,no
21,1,5,18,0,80,76,yes
5,0,3,16,0,0,57,no
6,0,2,15,0,0,16,no
6,0,9,22,0,75,58,no
9,0,6,19,0,33,38,yes
2,0,2,15,0,0,13,no
16,0,8,21,0,12,102,yes
25,0,8,21,0,81,229,yes
7,0,2,15,0,0,23,yes
16,0,4,30,2,0,43,no
26,0,3,16,0,61,76,no
10,0,3,16,0,33,45,yes
26,0,3,16,0,62,85,no
2,0,3,16,0,33,17,no
9,0,2,15,1,0,22,no
25,0,9,22,0,80,164,yes
38,1,10,23,0,87,272,yes
3,0,3,16,0,33,38,no
8,0,1,14,1,0,15,no
14,0,11,24,0,0,88,yes
6,0,1,14,1,0,15,no
7,0,3,16,0,33,25,yes
7,0,7,20,0,71,42,no
7,0,6,19,0,66,36,no
5,0,6,19,0,66,38,no
7,0,4,17,0,0,20,no
10,0,7,20,0,57,49,yes
10,0,1,14,0,0,21,yes
4,0,2,15,0,0,10,no
27,0,12,25,0,91,142,yes
4,0,2,15,0,0,37,yes
14,0,2,20,1,83,42,yes
2,0,19,32,0,0,69,no
13,0,3,26,1,33,30,no
3,0,1,14,0,0,23,no
3,0,1,14,0,0,19,no
11,0,5,18,0,0,59,yes
24,0,10,23,0,74,140,yes
2,0,3,16,0,0,23,yes
2,0,4,17,1,0,29,no
5,0,5,18,0,40,28,yes
4,0,6,19,0,55,32,yes
4,0,9,53,0,55,69,no
12,0,4,30,2,46,52,no
33,0,20,46,2,83,391,yes
1,0,2,46,0,0,14,no
1,0,2,46,0,0,14,no
5,0,4,17,0,58,62,yes
4,0,4,17,0,66,23,yes
17,0,10,23,0,70,110,yes
6,0,4,17,1,0,35,no
1,0,1,45,0,0,8,no
5,0,5,18,0,0,36,no
1,0,1,45,0,0,8,no
3,0,1,14,0,0,7,no
2,0,3,16,1,0,16,no
3,3,4,48,0,25,23,no
17,0,5,31,2,80,115,no
9,0,2,18,1,0,29,no
5,0,2,18,1,0,22,yes
6,0,4,30,2,50,31,no
2,0,3,51,1,33,20,no
0,0,4,17,1,0,22,no
0,0,4,17,1,0,22,no
0,0,4,17,1,0,22,no
0,0,4,17,1,0,22,no
2,1,1,14,0,0,8,no
8,0,2,15,1,0,25,no
69,0,42,55,0,94,966,yes
49,0,23,36,0,0,132,no
3,0,1,14,0,0,7,no
7,0,2,15,1,0,24,no
3,0,4,17,0,50,28,no
14,0,36,49,0,94,289,yes
8,0,14,27,0,77,116,yes
8,0,11,24,0,80,92,no
15,0,15,28,0,75,132,no
6,0,6,19,0,50,41,no
5,0,4,22,1,0,32,no
10,1,35,48,0,0,195,no
10,0,8,52,0,25,95,no
5,0,17,30,0,84,86,no
5,0,9,22,0,77,56,yes
4,0,5,18,0,0,93,no
5,0,7,20,0,71,46,yes
2,0,2,21,1,0,12,no
1,0,1,19,1,0,8,no
0,0,4,17,1,0,22,no
0,0,4,17,1,0,22,no
8,0,1,14,0,0,38,yes
0,0,4,17,1,0,22,no
0,0,4,17,1,0,22,no
0,0,4,17,1,0,22,no
0,0,4,17,1,0,22,no
0,0,4,17,1,0,22,no
0,0,4,17,1,0,22,no
0,0,4,17,1,0,22,no
0,0,4,17,1,0,22,no
10,0,2,15,0,50,156,yes
6,0,3,262,2,0,108,yes
14,0,4,17,1,50,51,yes
18,1,22,35,1,36,307,yes
19,1,10,23,0,78,172,yes
5,0,2,15,1,0,19,no
6,0,5,18,0,66,36,yes
4,0,1,14,1,0,12,no
6,0,2,15,0,0,29,no
8,0,4,17,0,37,42,no
11,0,3,26,1,100,384,yes
12,0,6,19,0,63,346,yes
10,4,3,16,0,33,40,no
15,0,5,18,0,66,69,yes
10,0,2,18,1,0,52,no
11,0,2,18,1,0,47,no
6,0,2,18,1,0,26,no
5,0,2,18,1,0,22,no
28,0,18,53,2,83,350,yes
1,0,0,13,0,0,3,no
1,0,1,14,0,0,7,no
1,0,1,14,0,0,7,no
2,0,3,16,0,33,24,no
1,0,1,14,0,0,7,no
5,0,2,15,0,50,29,yes
10,0,6,19,0,0,79,yes
9,0,3,16,0,0,67,yes
1,0,4,52,0,25,27,no
0,0,4,17,1,0,22,no
0,0,4,17,1,0,22,no
2,0,1,14,0,0,9,no
0,0,4,17,1,0,22,no
4,0,1,14,0,0,57,no
5,0,3,262,2,0,46,yes
4,0,1,14,0,0,78,no
6,0,3,262,2,0,67,yes
9,6,41,259,1,96,587,yes
8,1,205,218,0,0,2552,yes
0,0,4,17,1,0,22,yes
9,0,3,16,0,66,70,no
1,0,1,260,2,0,7,no
0,0,4,17,1,0,22,no
0,0,4,17,1,0,22,no
0,0,4,17,1,0,22,no
7,0,3,16,0,33,55,yes
4,0,3,16,0,33,40,no
4,0,1,14,0,0,27,no
2,0,1,14,0,0,32,no
5,0,7,20,1,57,47,no
9,0,1,14,0,0,98,no
8,0,3,262,2,33,72,yes
4,0,2,15,0,0,35,no
3,0,1,14,0,0,25,no
4,0,7,20,0,0,153,no
0,0,4,17,1,0,22,no
0,0,4,17,1,0,22,no
0,0,4,17,1,0,22,no
0,0,4,17,1,0,22,no
0,0,4,17,1,0,22,no
0,0,4,17,1,0,22,no
11,2,5,18,1,53,42,yes
11,0,3,16,0,33,109,no
13,0,7,20,0,0,154,yes
2,0,2,15,0,25,14,no
5,0,10,28,2,0,120,no
4,0,7,20,0,0,103,no
8,0,2,15,0,0,69,no
5,0,13,31,2,0,106,no
11,0,15,28,0,84,146,yes
4,0,1,14,0,0,174,no
7,0,6,265,2,0,151,yes
14,0,4,17,0,50,89,yes
0,0,4,17,1,0,22,no
0,0,4,17,1,0,22,no
0,0,4,17,1,0,22,no
0,0,4,17,1,0,22,no
0,0,4,17,1,0,22,no
0,0,4,17,1,0,22,no
0,0,4,17,1,0,22,no
1,0,3,47,0,0,19,no
1,0,6,50,0,33,41,no
0,0,4,17,1,0,22,no
0,0,4,17,1,0,22,no
0,0,4,17,1,0,22,no
10,0,2,15,0,25,38,yes
20,0,33,46,0,96,807,yes
10,0,53,66,1,92,432,no
3,0,18,31,0,5,83,no
3,0,4,17,0,50,26,no
1,2,4,48,0,75,22,no
2,0,12,25,0,0,142,no
3,0,4,17,0,0,32,no
0,0,2,46,0,0,14,no
4,0,4,17,0,25,48,no
36,0,5,18,0,64,139,yes
11,0,6,19,0,50,102,no
7,0,4,17,0,44,51,yes
14,0,9,22,0,44,136,no
5,0,6,19,0,63,71,yes
9,0,6,19,0,50,133,yes
5,0,6,19,0,59,73,yes
11,0,8,21,0,62,139,no
8,0,6,19,0,64,80,yes
1,0,1,16,2,0,11,no
1,0,1,16,2,0,8,no
2,0,2,17,2,0,11,no
2,3,2,15,1,0,12,no
13,0,58,71,1,96,336,yes
5,0,28,41,0,92,136,no
22,0,43,56,1,94,287,yes
10,0,4,17,0,0,206,yes
10,0,2,15,1,0,78,no
4,0,5,18,0,40,36,no
2,0,1,14,0,0,12,no
4,0,3,16,0,33,32,yes
8,0,1,14,1,0,33,no
5,0,2,15,0,0,15,no
78,0,18,31,0,90,664,yes
9,0,5,18,0,66,148,yes
3,0,2,15,0,0,24,no
38,0,8,21,0,67,163,yes
1,0,2,15,0,12,39,no
10,0,15,28,0,83,96,yes
6,0,5,18,0,40,50,yes
2,0,8,21,0,37,63,no
3,0,2,46,0,0,18,no
3,0,3,47,0,0,16,no
