@relation 'phoenix data 4.2-4.3'

@attribute CBO numeric
@attribute NOC numeric
@attribute WMC numeric
@attribute RFC numeric
@attribute DIT numeric
@attribute LCOM numeric
@attribute SLOC numeric
@attribute change {no,yes}

@data
5,0,3,16,0,0,44,yes
9,0,10,23,1,70,309,yes
31,1,4,17,1,58,154,yes
2,0,3,16,1,33,15,no
27,0,23,36,0,78,544,yes
3,0,3,16,1,33,22,no
3,0,2,15,0,16,17,no
3,0,2,15,0,0,11,yes
26,1,3,16,1,25,109,yes
4,0,1,14,1,0,6,no
7,0,3,16,1,50,95,no
7,0,2,15,1,0,21,no
7,0,3,16,1,0,26,no
5,0,2,15,1,0,8,no
5,0,3,16,1,0,13,no
8,0,7,20,0,66,96,no
17,1,12,25,0,80,154,yes
6,0,1,26,1,0,10,no
0,0,1,14,1,0,4,no
2,0,1,14,1,0,5,no
1,0,1,14,1,0,4,no
11,0,4,17,0,37,45,no
3,0,1,14,0,0,5,no
15,0,5,18,0,64,84,no
8,0,3,16,0,16,26,no
33,0,10,23,0,72,181,no
2,0,6,19,0,41,28,no
4,0,3,16,0,50,20,no
13,0,10,41,0,64,283,no
14,0,8,21,0,58,94,no
12,0,8,27,1,75,82,no
40,0,6,19,0,70,198,yes
4,0,4,17,0,41,19,no
10,1,6,19,0,72,54,no
4,0,2,15,0,50,26,no
2,0,5,18,0,60,18,no
9,0,4,17,0,50,28,no
19,0,2,15,0,0,62,no
24,0,4,17,0,66,186,no
4,0,5,18,0,0,21,yes
4,0,5,18,0,0,22,yes
33,0,2,15,0,0,195,yes
7,0,2,137,3,0,12,no
19,0,11,69,2,80,66,yes
74,0,4,17,0,62,406,no
10,0,6,22,1,66,25,no
8,0,6,19,0,33,32,yes
7,0,2,15,0,0,32,no
3,0,2,15,0,50,10,no
98,5,67,135,2,92,975,yes
4,0,4,17,0,0,20,no
9,0,6,19,0,66,46,no
23,0,6,19,0,91,383,yes
27,2,3,16,0,33,80,yes
41,0,9,25,1,44,146,yes
2,0,3,16,0,33,14,no
24,0,7,23,1,21,78,yes
25,0,3,16,0,0,165,no
5,0,7,20,0,67,60,no
4,0,5,18,0,80,22,yes
17,0,3,16,0,0,102,yes
16,0,10,86,2,80,66,yes
29,0,12,81,2,0,131,no
1,0,1,14,0,0,8,no
23,0,8,104,3,70,62,yes
49,0,9,22,0,84,1105,yes
14,0,6,82,3,38,52,yes
12,0,5,18,0,46,40,yes
25,0,8,21,0,72,148,yes
25,0,18,31,0,72,181,yes
21,0,5,18,0,0,41,no
17,0,9,85,2,72,79,yes
5,0,3,22,1,33,12,no
17,1,6,19,0,58,46,yes
36,0,20,33,0,74,177,yes
11,0,7,83,2,71,72,yes
25,0,3,72,2,0,83,no
9,0,2,15,0,100,66,yes
12,0,4,78,2,50,29,no
20,0,7,76,2,0,75,yes
16,2,3,16,0,33,52,yes
26,0,2,15,0,0,62,no
3,0,2,15,0,75,12,yes
8,0,3,16,0,66,152,yes
15,0,2,15,0,0,50,yes
56,0,12,25,0,91,413,yes
9,0,3,33,2,33,27,yes
31,0,9,144,3,75,101,no
66,0,7,20,0,65,286,yes
44,0,88,157,2,0,1269,yes
15,0,33,102,2,0,355,yes
28,0,43,112,2,100,464,no
11,0,9,22,0,76,72,yes
16,0,26,39,0,90,367,yes
12,0,4,17,0,0,59,yes
9,0,5,18,0,65,463,yes
12,0,6,75,2,0,70,no
20,0,6,19,0,66,158,no
9,0,3,24,1,22,30,yes
30,0,33,46,0,92,154,yes
21,0,6,75,2,0,50,yes
23,0,7,103,3,57,109,yes
12,0,4,17,0,0,27,no
32,0,14,110,3,57,430,yes
9,0,5,81,3,46,44,no
20,0,12,88,2,77,103,no
26,0,8,104,3,75,174,yes
9,0,3,72,2,0,55,yes
27,0,13,148,3,73,140,yes
3,0,5,18,0,53,22,yes
87,0,7,20,0,71,663,no
12,0,5,21,1,60,26,yes
13,0,5,140,3,40,28,no
18,0,4,73,2,0,68,no
37,0,6,19,0,100,166,yes
2,0,2,15,0,25,21,no
7,0,2,78,3,0,15,no
14,0,4,139,3,75,35,yes
43,0,47,116,2,0,799,yes
38,0,4,17,0,87,984,yes
45,0,31,89,2,79,720,yes
9,0,4,17,0,50,29,yes
13,0,9,22,0,75,96,yes
4,0,3,16,0,33,15,no
16,0,4,17,0,43,104,yes
7,0,7,20,0,71,27,no
10,0,5,63,2,60,30,yes
39,0,104,173,2,0,1446,yes
4,5,7,20,0,0,30,no
9,3,7,20,1,98,109,yes
3,1,11,24,0,0,40,no
2,0,3,16,0,98,6764,no
11,0,34,47,1,90,401,no
8,0,31,44,1,90,290,no
8,0,31,44,1,90,290,no
8,0,39,52,1,91,565,no
