@relation 'Vuze 5740_ck'

@attribute CBO numeric
@attribute NOC numeric
@attribute WMC numeric
@attribute RFC numeric
@attribute DIT numeric
@attribute LCOM numeric
@attribute SLOC numeric
@attribute change {no,yes}

@data
3,9,10,9,1,37,36,no
3,75,12,7,1,61,48,no
5,3,18,7,1,57,64,no
1,2,4,3,2,0,21,no
27,0,117,59,1,84,608,yes
3,0,37,13,1,83,254,yes
11,0,190,41,1,89,1162,yes
10,0,12,5,1,40,62,yes
3,0,15,11,2,80,92,yes
2,0,31,12,1,0,125,yes
2,0,80,23,1,4,407,yes
1,0,38,27,1,29,180,yes
11,0,30,11,1,87,249,yes
1,0,101,19,1,0,266,no
1,0,33,13,1,65,148,no
0,0,2,2,2,0,15,no
0,0,2,2,2,0,15,no
0,0,2,2,2,0,15,no
4,0,18,5,1,60,98,no
2,0,17,3,2,22,85,no
0,0,12,7,3,0,69,no
0,0,12,8,3,25,76,no
2,0,4,1,1,0,21,no
8,0,65,16,1,0,498,no
0,0,1,1,1,0,10,no
3,0,22,3,1,0,152,no
1,0,94,14,1,75,403,no
12,1,52,38,1,90,340,yes
27,1,322,132,1,95,1784,yes
5,3,20,14,1,92,357,yes
9,2,89,54,1,92,476,yes
14,2,140,36,1,82,736,yes
31,2,168,80,1,93,1104,yes
31,3,171,118,2,83,954,yes
6,2,49,32,1,77,228,yes
4,1,9,6,1,37,51,yes
43,2,78,29,1,90,835,yes
5,2,4,5,1,77,85,yes
3,2,32,9,1,52,190,yes
5,1,14,11,1,78,176,yes
21,3,236,108,1,95,1339,yes
11,2,69,40,1,85,416,yes
7,1,22,119,2,54,120,yes
4,3,48,27,1,76,285,yes
0,3,11,7,2,60,59,yes
28,1,66,13,1,80,613,yes
5,2,43,18,1,79,286,yes
23,1,60,20,1,86,495,yes
7,1,54,46,5,86,320,yes
24,2,122,25,4,65,588,yes
11,2,29,79,2,88,288,yes
25,3,127,67,1,95,800,yes
18,2,54,17,3,41,383,yes
7,2,70,5,1,67,424,yes
4,61,10,7,2,66,61,yes
3,233,29,17,1,82,277,yes
3,1,1,3,1,0,24,yes
1,2,8,7,1,66,31,yes
6,2,7,7,1,67,88,yes
1,1,14,11,1,88,37,yes
5,9,65,34,1,89,349,yes
7,20,59,14,1,83,194,yes
10,15,46,158,4,85,262,yes
14,1,23,6,2,0,205,yes
0,1,1,3,2,0,103,yes
5,1,37,38,1,86,276,no
40,4,148,183,2,87,1058,no
7,22,13,11,1,81,88,no
0,2,5,3,1,0,40,no
2,5,7,7,1,33,27,no
6,2,14,9,1,44,59,no
0,2,0,1,1,0,3,no
13,1,4,48,1,66,153,no
10,2,58,26,1,87,322,no
2,2,22,7,1,76,151,no
6,2,16,9,1,87,115,no
1,13,17,17,1,0,89,no
9,0,9,7,1,0,111,no
0,2,0,1,1,0,3,no
0,0,0,0,1,0,1,no
35,2,186,50,1,93,1047,no
1,1,8,137,2,0,55,no
1,10,2,2,1,0,8,no
1,2,1,1,1,0,4,no
1,7,6,6,1,0,16,no
9,7,19,9,1,71,114,no
38,2,163,78,3,92,734,no
38,2,200,123,2,95,785,no
9,6,22,7,1,64,142,no
13,22,21,20,2,76,90,no
2,4,29,10,1,68,173,no
2,2,4,4,1,0,26,no
0,0,0,1,1,0,4,no
3,1,1,7,1,0,39,no
2,2,12,13,1,80,89,no
4,9,8,18,2,70,61,no
4,7,12,22,2,72,91,no
19,2,60,13,1,73,418,no
5,3,6,3,1,12,51,no
4,2,32,24,1,81,152,no
1,710,2,2,1,0,15,no
2,3,5,3,1,0,28,no
2,5,5,3,1,0,27,no
2,2,5,3,1,0,22,no
0,1,1,3,2,0,18,no
3,5,17,13,2,60,77,no
7,1,8,25,1,0,101,no
0,0,6,9,1,0,49,no
9,2,12,8,1,14,101,no
25,2,47,43,2,55,253,no
16,2,54,29,1,86,321,no
3,1,30,24,1,90,118,no
0,1,4,6,1,50,17,no
1,2,2,7,2,0,9,no
1,7,9,21,2,83,49,no
9,12,31,22,2,71,136,no
2,10,1,24,3,0,7,no
5,2,4,38,1,0,151,no
0,10,7,5,1,80,20,no
3,15,11,9,1,79,64,no
1,1,2,2,1,0,23,no
1,3,1,2,1,0,12,no
2,9,1,2,1,0,12,no
18,2,82,35,1,87,472,no
0,1,10,30,2,80,45,no
12,2,39,11,1,75,231,no
1,209,7,143,3,0,57,no
33,1,256,85,1,95,958,no
15,1,127,58,1,90,464,no
2,7,4,5,2,22,28,no
3,57,10,7,1,0,61,no
0,2,1,2,1,0,9,no
1,1,5,21,4,0,26,no
2,22,3,16,3,0,21,no
5,1,20,27,4,40,107,no
6,2,22,27,4,50,144,no
8,2,38,31,4,57,235,no
5,1,26,29,4,62,134,no
1,1,13,8,2,66,105,no
