@relation 'frinika 0.4-0.5new.csv.arff'

@attribute CBO numeric
@attribute NOC numeric
@attribute WMC numeric
@attribute RFC numeric
@attribute DIT numeric
@attribute LCOM numeric
@attribute SLOC numeric
@attribute change {no,yes}

@data
1,0,1,1,1,0,6,yes
1,0,14,5,2,100,226,yes
3,0,6,4,1,25,34,yes
4,0,5,4,1,37,27,yes
1,0,8,3,2,41,41,no
0,0,2,2,1,0,16,no
5,0,29,29,2,65,211,no
1,0,1,1,1,0,7,no
1,0,4,4,1,37,20,no
1,8,0,1,1,0,5,no
0,21,0,1,1,0,4,no
3,4,43,22,1,85,183,yes
1,1,7,9,2,67,45,no
4,0,16,8,3,75,81,yes
1,0,6,7,3,50,27,no
2,0,28,29,2,62,200,no
1,0,1,1,1,0,7,no
0,0,18,1,1,0,124,no
0,0,6,2,1,50,51,no
0,0,7,1,2,0,36,no
0,0,16,5,1,64,93,yes
9,0,9,1,1,0,81,yes
1,0,1,1,1,0,6,no
2,2,3,4,2,37,22,no
0,0,5,2,1,50,22,no
0,0,5,2,1,50,22,no
0,0,2,2,1,50,24,no
3,0,1,1,1,0,27,no
6,0,1,1,1,0,63,no
5,0,3,1,1,0,30,yes
9,0,1,1,1,0,25,yes
6,0,1,1,1,0,17,yes
12,0,1,1,1,0,32,yes
4,0,3,1,1,0,47,yes
9,0,1,1,1,0,18,yes
6,0,3,1,1,0,35,yes
3,0,2,1,1,0,17,yes
3,0,1,1,1,0,74,no
3,0,2,1,1,0,9,no
2,0,10,5,1,64,67,no
0,0,73,73,1,97,278,no
2,0,14,7,1,42,86,no
1,0,24,12,2,89,213,no
4,0,15,5,1,49,181,no
6,0,26,6,2,58,153,no
13,0,112,27,2,92,1538,no
0,0,7,4,1,45,49,no
0,0,69,21,1,90,390,no
0,0,61,11,1,81,243,no
6,0,8,50,2,56,37,no
7,0,5,11,3,16,33,no
3,0,56,25,2,85,386,no
0,0,0,0,1,0,3,no
0,0,1,1,1,0,19,no
1,0,5,4,1,8,31,no
1,1,5,2,1,0,23,no
1,0,4,5,2,0,31,no
0,0,4,2,1,0,20,no
2,0,59,13,1,82,341,no
10,0,10,2,1,50,69,yes
0,0,33,18,1,83,159,yes
2,3,17,17,2,88,112,yes
6,2,16,12,2,72,64,yes
2,1,15,29,3,85,101,yes
0,0,1,1,2,0,15,no
0,0,10,4,1,0,57,no
0,0,3,2,1,50,22,no
6,0,47,37,1,94,195,yes
9,0,9,3,2,54,85,yes
3,0,2,2,2,37,53,yes
2,0,4,3,2,50,15,yes
3,0,12,12,1,85,84,yes
2,0,4,3,2,50,15,no
1,0,18,5,1,65,84,no
15,0,97,11,1,83,742,yes
32,0,195,127,3,95,893,yes
2,0,189,47,1,88,905,yes
5,0,19,11,2,72,111,no
12,0,8,16,3,84,85,yes
2,0,4,4,2,50,269,no
2,0,3,3,2,33,249,no
0,0,26,5,2,73,144,no
4,0,5,15,2,22,32,no
3,0,4,15,2,33,22,yes
56,0,115,56,2,96,1443,yes
0,0,3,2,2,0,13,no
7,0,6,2,1,0,24,yes
6,3,33,12,1,66,135,yes
0,0,0,1,0,0,3,no
8,0,6,4,2,33,46,yes
52,0,176,81,1,96,939,yes
3,0,7,7,1,85,28,no
1,0,15,10,1,73,57,no
13,0,44,20,1,88,196,yes
5,0,40,20,2,79,206,no
10,0,80,36,2,94,558,yes
14,0,69,30,2,91,898,yes
4,0,2,2,2,0,17,no
1,0,4,4,1,50,17,no
1,0,5,16,2,25,25,yes
4,0,32,4,1,58,184,no
10,0,25,9,1,75,166,no
4,0,15,6,1,62,67,no
6,0,60,9,1,76,279,yes
10,0,54,12,1,72,198,no
0,0,9,1,1,8,52,no
3,0,21,4,1,50,101,no
5,0,5,2,2,9,56,yes
2,0,5,4,1,70,37,no
1,0,13,2,1,0,66,yes
6,0,2,1,1,0,19,yes
2,0,16,9,2,55,84,yes
17,0,113,85,1,96,471,yes
6,0,62,20,1,82,311,yes
2,0,34,20,1,84,152,yes
12,0,14,5,1,60,93,no
1,0,6,2,1,25,29,no
0,0,1,1,2,0,7,no
7,0,21,6,1,61,95,yes
0,0,2,2,1,92,31,yes
2,0,12,7,2,35,47,yes
2,0,3,17,2,33,19,no
2,0,6,17,2,0,27,no
0,0,2,1,2,0,8,no
13,0,5,2,2,0,77,yes
13,3,148,79,2,95,669,yes
7,0,21,8,2,76,125,no
1,3,12,8,2,71,81,no
6,0,23,4,2,50,129,yes
0,0,2,2,1,60,13,no
0,1,6,6,1,0,21,no
6,0,3,3,2,40,55,yes
2,0,2,2,2,50,21,yes
2,0,2,2,2,50,37,yes
4,0,4,3,2,33,18,no
5,0,5,2,2,0,28,yes
4,0,2,2,2,0,13,no
6,0,2,2,2,0,15,no
5,0,7,1,2,0,30,yes
5,0,2,2,2,0,13,no
7,0,6,2,2,0,34,yes
7,0,7,7,2,80,87,yes
5,0,5,2,2,0,27,yes
4,0,2,2,2,0,13,no
2,0,6,1,2,0,66,yes
10,0,10,2,2,0,53,yes
4,0,5,2,2,0,28,yes
11,9,22,21,3,81,82,yes
3,0,2,2,2,0,10,no
3,0,2,2,2,0,10,no
5,0,13,26,4,80,52,no
4,0,9,6,2,62,121,yes
15,0,32,32,4,86,284,yes
12,0,10,4,2,51,199,yes
6,0,14,26,4,80,63,yes
12,0,20,13,2,79,316,yes
5,0,16,26,4,80,89,no
2,0,5,5,2,44,125,yes
3,0,4,24,4,66,29,no
15,0,30,9,2,81,138,yes
15,0,49,46,3,91,391,yes
4,0,5,24,4,66,25,no
1,0,5,5,2,56,75,no
3,0,3,24,4,66,12,yes
1,0,5,5,2,64,60,no
4,0,9,25,4,62,32,no
1,0,4,4,2,50,51,no
2,0,3,2,2,100,50,yes
2,0,2,2,2,0,15,no
5,0,3,1,2,0,20,yes
6,0,3,2,2,0,22,yes
12,0,27,21,3,81,105,yes
4,0,9,6,2,62,118,yes
6,0,5,4,2,16,27,yes
5,0,5,2,2,0,29,yes
11,0,8,2,2,0,47,no
11,0,9,2,2,0,49,yes
3,0,2,2,2,0,12,no
4,0,2,2,2,0,11,no
4,0,2,2,2,0,11,no
0,0,3,2,2,0,12,no
1,0,6,2,2,50,46,no
1,0,4,3,2,44,66,no
4,0,5,1,2,0,78,yes
4,0,73,38,1,86,448,yes
0,0,29,11,1,60,111,yes
0,2,0,1,2,0,3,no
0,0,14,3,1,33,64,no
2,0,17,4,2,66,62,yes
1,0,4,4,2,75,22,yes
3,0,6,18,2,100,23,no
2,0,7,19,2,100,27,no
