@relation 'hypersqldb data 2.3.3-2.3.4'

@attribute CBO numeric
@attribute NOC numeric
@attribute WMC numeric
@attribute RFC numeric
@attribute DIT numeric
@attribute LCOM numeric
@attribute SLOC numeric
@attribute change {no,yes}

@data
21,0,10,23,0,76,118,no
10,0,3,16,0,33,61,no
0,0,0,44,0,0,2,no
10,0,7,20,0,69,89,no
16,0,7,20,0,65,129,no
26,0,18,31,0,86,244,yes
15,0,1,14,0,0,92,no
40,1,49,62,0,95,386,yes
16,0,8,70,1,83,70,yes
93,0,87,100,0,96,4577,no
1,0,2,52,1,100,12,no
1,0,1,45,0,100,5,no
1,0,2,56,2,100,8,no
1,0,2,56,2,100,8,no
1,0,2,56,2,100,8,no
1,0,2,52,1,100,8,no
6,0,1,14,0,83,11,no
29,0,4,17,0,78,530,no
0,0,1,45,0,100,5,no
16,0,7,20,0,78,285,no
7,0,4,17,0,25,24,no
16,0,9,22,0,76,77,no
1,0,1,45,0,100,6,no
13,0,42,55,0,95,783,no
7,0,10,23,0,83,91,no
1,0,4,100,0,100,16,no
1,3,4,54,1,100,14,no
11,0,1,14,0,50,96,no
5,1,22,35,0,84,90,yes
23,0,40,75,1,89,239,yes
41,0,61,74,0,85,635,yes
3,0,1,14,0,25,34,no
38,0,60,73,0,96,539,yes
10,0,3,16,0,16,35,no
8,0,4,17,0,12,47,no
22,0,19,32,0,79,266,yes
8,0,3,16,0,61,219,no
10,1,7,20,0,99,246,yes
81,0,78,132,2,98,4945,yes
52,1,34,54,1,73,1871,yes
12,0,12,25,0,86,93,no
14,0,18,31,0,91,144,yes
59,13,94,107,0,95,1452,yes
12,0,8,115,1,0,107,no
18,0,12,119,1,75,198,yes
17,0,10,117,1,0,483,yes
21,0,13,120,1,74,269,yes
35,0,47,154,1,89,884,yes
13,0,23,130,1,60,86,yes
17,0,8,162,2,31,238,yes
37,1,47,154,1,97,1721,yes
25,0,11,118,1,100,666,yes
11,0,9,116,1,66,65,no
21,0,11,118,1,68,158,yes
10,0,6,113,1,0,48,no
61,0,14,135,2,75,3015,yes
33,1,14,121,1,80,1582,yes
22,0,18,125,1,66,208,yes
20,0,30,43,0,95,584,yes
2,0,12,25,0,81,83,yes
4,0,14,63,0,82,77,no
8,0,24,37,0,90,343,yes
1,0,1,14,0,0,8,no
27,1,67,80,0,93,1274,yes
16,0,8,88,1,0,317,yes
8,2,44,57,0,91,146,yes
9,0,42,99,1,78,263,yes
9,0,41,98,1,77,283,yes
16,0,18,31,0,75,137,no
13,0,16,29,0,72,104,no
9,0,17,30,0,77,193,no
14,0,19,32,0,75,151,no
22,0,22,35,0,83,355,yes
8,2,7,30,0,0,41,yes
6,2,6,25,0,0,26,yes
52,0,123,268,2,97,749,yes
14,1,19,32,0,76,211,yes
19,0,23,36,0,75,399,yes
33,0,28,41,0,88,549,yes
14,1,4,29,0,50,89,no
13,1,4,32,0,0,42,no
5,0,2,15,0,100,49,no
9,4,20,33,0,87,88,yes
57,1,67,80,0,93,805,yes
23,0,190,203,0,98,1050,yes
12,0,7,40,1,0,64,no
14,0,3,16,0,63,101,no
21,1,9,22,0,94,154,yes
2,0,2,34,1,0,8,no
18,0,16,29,0,79,147,yes
25,0,29,62,1,73,175,yes
80,1,121,145,1,94,1488,yes
70,1,212,225,0,97,1567,yes
18,0,11,236,1,0,73,no
18,0,29,42,0,75,217,yes
7,0,8,21,0,50,43,no
4,0,5,18,0,33,39,no
69,0,62,75,0,97,996,no
6,0,11,24,0,0,58,no
14,0,22,35,0,86,132,no
1,0,1,14,0,0,9,yes
20,0,44,68,1,95,316,yes
10,2,11,24,0,90,141,yes
16,0,23,36,0,0,109,yes
9,1,12,25,0,64,82,yes
12,0,3,36,1,0,29,no
7,0,4,29,1,25,23,no
5,0,9,89,1,77,45,no
24,0,8,41,1,50,79,no
8,0,20,33,0,77,173,no
9,0,10,23,0,76,102,no
0,0,0,22,1,0,1,no
5,3,6,50,0,83,39,no
0,0,3,16,0,0,57,yes
0,0,1,47,2,0,10,no
2,0,8,21,0,0,113,yes
5,0,81,94,0,98,982,yes
5,2,12,25,0,83,109,no
2,0,6,19,0,58,36,no
10,0,3,21,0,55,24,no
5,0,14,27,0,17,94,yes
11,0,22,41,0,64,130,yes
10,0,22,50,0,64,142,yes
4,0,9,32,0,22,68,no
6,0,9,22,0,11,56,no
1,0,4,78,0,100,22,no
10,0,16,47,0,68,110,no
6,0,54,67,0,72,581,yes
16,0,3,16,0,25,130,no
19,0,27,40,0,97,306,yes
5,0,6,19,0,66,81,yes
