@relation 'jEdit 5.5.0 new'

@attribute CBO numeric
@attribute NOC numeric
@attribute WMC numeric
@attribute RFC numeric
@attribute DIT numeric
@attribute LCOM numeric
@attribute SLOC numeric
@attribute change {no,yes}

@data
5,0,18,7,1,64,114,yes
1,30,25,17,2,77,180,yes
9,0,22,33,2,76,103,yes
4,0,12,4,1,50,49,yes
18,0,33,15,1,86,251,yes
9,0,14,26,3,68,118,yes
4,4,2,17,2,0,56,yes
10,0,33,7,2,71,245,yes
23,0,32,16,2,75,577,yes
8,0,22,7,2,82,199,yes
64,0,191,62,2,93,1534,yes
22,0,79,16,2,84,649,yes
8,0,48,20,2,68,290,yes
20,0,42,21,3,83,469,yes
9,0,37,22,3,0,206,yes
9,1,55,32,1,91,290,yes
5,0,21,23,2,40,80,yes
8,0,20,23,2,70,79,yes
10,1,3,4,1,0,30,yes
4,1,10,6,1,83,88,yes
0,0,95,31,1,79,446,yes
1,0,17,12,1,48,80,yes
18,2,201,74,1,94,804,yes
48,0,2026,351,1,91,5317,yes
6,0,251,44,1,85,714,yes
1,1,4,3,1,50,25,yes
13,2,31,11,1,59,129,yes
3,0,7,15,2,75,83,yes
33,0,261,219,2,95,1399,yes
1,2,8,8,1,0,18,yes
0,0,16,8,1,43,73,yes
1,0,3,3,1,0,16,yes
1,0,9,11,2,0,49,yes
1,0,16,13,2,0,64,yes
31,1,325,129,1,96,1782,yes
0,1,39,17,1,61,167,yes
3,0,9,4,1,50,121,yes
10,0,53,20,1,80,470,yes
9,0,10,29,4,0,71,yes
14,0,38,33,4,71,262,yes
9,0,24,30,4,0,150,yes
8,0,46,18,1,53,235,yes
1,0,4,4,1,0,15,yes
14,0,46,17,1,70,273,yes
0,0,5,4,1,37,25,yes
2,0,11,4,1,50,48,yes
4,0,2,2,1,0,11,yes
2,0,5,4,1,50,25,yes
1,0,2,2,1,0,11,yes
3,0,8,4,1,25,36,yes
1,15,5,5,1,19,28,yes
33,0,139,34,2,79,838,yes
7,0,29,8,2,70,215,yes
1,0,24,8,2,50,165,yes
3,0,3,3,2,0,249,yes
8,2,13,26,3,71,219,yes
16,0,27,6,2,64,423,yes
6,0,2,1,2,0,86,yes
5,0,11,15,3,78,133,yes
1,0,11,9,2,70,68,yes
1,0,2,16,4,0,11,yes
6,0,3,10,3,55,53,yes
12,0,15,7,2,85,369,yes
2,0,19,10,2,40,85,yes
7,0,8,13,3,79,178,yes
15,0,47,25,3,76,347,yes
12,1,28,14,2,62,321,yes
6,0,28,43,3,0,133,yes
3,0,33,13,1,70,348,yes
5,0,13,6,2,72,221,yes
20,0,100,75,3,86,714,yes
0,0,11,7,2,57,86,yes
3,22,5,7,2,60,151,yes
4,0,7,10,3,66,149,yes
2,0,132,17,1,75,779,yes
0,0,38,19,1,69,152,yes
8,0,35,13,3,66,316,yes
8,0,14,10,2,78,131,yes
3,0,26,9,2,0,113,yes
5,3,36,17,2,72,221,yes
4,0,61,11,1,81,365,yes
3,0,162,3,1,66,246,yes
13,0,15,10,2,83,511,yes
18,0,23,11,2,68,212,yes
5,0,35,13,2,68,312,yes
19,0,46,17,1,78,670,yes
21,0,22,9,2,82,332,yes
15,0,45,13,2,80,363,yes
3,0,1,1,1,0,92,yes
3,0,1,1,1,0,79,yes
3,0,1,1,1,0,41,yes
3,0,1,1,1,0,251,yes
3,0,1,1,1,0,41,yes
3,0,1,1,1,0,57,yes
3,0,1,1,1,0,94,yes
3,0,1,1,1,0,55,yes
3,0,1,1,1,0,50,yes
3,0,1,1,1,0,145,yes
3,0,1,1,1,0,41,yes
3,0,1,1,1,0,61,yes
3,0,1,1,1,0,61,yes
3,0,1,1,1,0,94,yes
4,0,1,1,1,0,109,yes
3,0,1,1,1,0,72,yes
11,0,23,15,3,69,157,yes
7,0,10,10,2,73,208,yes
2,0,11,5,1,50,65,yes
8,0,5,8,4,66,120,yes
2,1,7,3,2,58,76,yes
7,0,11,3,1,33,67,yes
27,0,174,77,1,97,1222,yes
3,0,28,14,1,45,163,yes
8,0,35,10,1,63,270,yes
10,0,4,2,2,37,219,yes
10,0,11,4,1,50,168,yes
6,0,6,3,2,50,160,yes
17,0,23,13,2,84,464,yes
5,0,7,5,2,70,115,yes
3,2,4,4,1,50,96,yes
4,0,9,6,2,0,102,yes
5,0,14,3,1,66,140,yes
5,0,10,8,2,75,50,yes
3,0,9,4,1,44,93,yes
3,0,7,1,1,0,29,yes
5,2,41,21,1,90,212,yes
5,0,11,5,1,0,112,yes
0,0,4,4,1,0,26,yes
7,0,31,25,2,59,174,yes
4,0,13,6,1,0,68,yes
1,0,7,4,1,50,111,yes
7,0,23,50,2,65,169,yes
3,0,11,45,2,80,100,yes
12,0,63,59,2,94,412,yes
3,0,9,7,1,50,47,yes
2,0,4,18,2,0,47,yes
1,0,6,3,1,33,48,yes
2,0,9,45,2,0,59,yes
22,4,97,40,1,89,586,yes
11,3,67,34,1,91,302,yes
15,0,28,17,1,91,256,yes
1,0,9,2,1,0,50,yes
6,0,64,18,2,77,348,yes
102,0,510,151,1,96,3121,yes
9,0,14,20,2,0,151,yes
2,0,15,33,2,50,80,yes
9,0,13,3,1,0,125,yes
17,0,72,26,1,89,701,yes
8,0,13,3,1,33,101,yes
12,0,11,3,2,44,102,yes
8,0,22,8,2,77,112,yes
10,0,11,3,2,41,86,yes
9,0,5,2,1,0,55,yes
4,0,11,3,1,0,56,yes
7,0,5,2,1,0,117,yes
2,0,3,1,1,0,22,yes
5,0,20,3,1,0,99,yes
7,0,9,2,1,0,84,yes
7,0,10,2,1,0,127,yes
7,0,11,3,1,33,91,yes
17,0,225,52,1,98,1029,yes
6,1,9,4,2,50,50,yes
3,0,3,14,4,0,18,yes
2,0,6,10,2,40,40,yes
1,0,5,9,2,25,31,yes
0,0,3,8,2,0,17,yes
1,1,5,9,2,25,29,yes
3,0,12,13,2,62,66,yes
3,0,4,9,2,0,21,yes
1,0,4,9,2,50,23,yes
0,0,4,8,2,0,19,yes
1,0,5,9,2,25,28,yes
15,0,14,23,3,66,370,yes
7,0,16,23,3,61,183,yes
11,0,24,20,3,33,251,yes
5,0,9,24,3,68,144,yes
9,0,24,28,3,82,296,yes
9,0,13,21,3,56,282,yes
7,0,12,30,4,66,64,yes
6,0,9,20,3,33,163,yes
21,0,26,27,3,76,600,yes
9,0,15,22,3,62,311,yes
11,0,25,6,1,75,267,yes
30,0,206,47,1,90,1477,yes
23,0,15,7,2,73,1145,yes
25,0,12,4,2,72,1131,yes
8,0,11,7,1,42,116,yes
5,0,18,10,2,78,90,yes
12,0,37,10,1,72,509,yes
7,0,40,11,2,77,200,yes
20,0,38,17,2,87,253,yes
6,0,9,5,2,82,131,yes
8,0,24,11,1,66,369,yes
2,0,12,11,3,69,170,yes
18,0,57,9,1,72,367,yes
17,0,45,11,1,63,371,yes
0,0,22,14,1,71,110,yes
