@relation 'logical DOC 8.3.4 new'

@attribute CBO numeric
@attribute NOC numeric
@attribute WMC numeric
@attribute RFC numeric
@attribute DIT numeric
@attribute LCOM numeric
@attribute SLOC numeric
@attribute change {no,yes}

@data
5,0,1,17,3,100,27,no
2,0,2,1,2,100,11,no
0,0,306,54,1,0,1292,yes
12,0,57,39,2,93,328,yes
38,0,378,74,1,90,1791,yes
0,0,24,7,2,63,158,no
1,0,19,10,1,40,122,no
5,0,6,4,2,0,32,no
0,0,4,4,1,0,36,no
6,0,61,14,1,67,408,yes
1,37,19,6,1,63,92,no
8,0,31,8,1,62,136,yes
0,0,2,1,1,0,9,yes
1,0,2,2,1,0,7,no
1,0,17,14,2,64,57,yes
26,0,49,29,1,89,249,yes
10,0,9,6,1,0,30,no
1,0,9,9,2,0,30,no
1,0,5,5,1,19,18,no
11,0,14,6,1,0,69,yes
1,0,1,1,2,0,4,no
1,0,5,4,1,0,15,no
2,0,45,76,3,93,159,yes
0,0,11,11,1,81,39,yes
12,0,50,22,1,83,227,no
10,0,24,10,1,78,98,no
4,0,16,58,2,0,72,no
2,0,5,11,2,0,55,no
14,0,29,63,2,0,163,yes
7,0,10,16,2,0,135,no
1,2,25,35,2,90,88,no
2,0,17,30,2,90,68,no
0,0,17,16,1,81,74,no
1,0,15,49,3,85,75,no
0,0,21,31,2,86,64,no
3,0,8,54,2,0,27,no
1,0,2,8,2,0,18,no
3,3,18,13,1,87,72,yes
26,0,74,24,1,87,295,yes
4,0,4,14,2,50,18,no
2,0,8,8,1,100,32,no
2,0,9,8,1,100,35,no
6,0,3,14,2,100,27,no
3,0,16,14,2,0,74,no
5,0,6,18,3,50,30,no
0,0,5,4,1,0,56,yes
0,0,14,27,2,78,64,no
23,0,54,6,2,33,223,no
3,0,6,55,2,0,26,no
3,0,2,8,2,0,16,no
1,0,10,19,2,66,55,no
7,2,143,147,3,98,539,yes
7,0,18,30,2,87,68,no
2,0,14,58,2,0,69,no
4,0,6,12,2,0,65,no
36,0,240,116,2,95,1084,yes
21,0,40,46,2,68,503,no
6,0,29,63,2,0,121,no
8,0,14,17,2,0,160,no
3,0,20,59,2,0,81,no
7,0,6,12,2,33,90,no
12,0,20,59,2,0,89,no
3,0,3,9,2,0,21,no
9,0,17,58,2,0,84,yes
4,0,5,11,2,0,54,no
10,0,36,62,2,75,151,yes
8,0,5,11,2,30,57,no
4,0,12,42,2,66,69,yes
0,1,7,151,4,50,25,yes
0,17,24,5,1,80,226,no
0,0,1,64,3,0,29,no
1,0,7,20,2,71,25,no
2,0,8,2,1,25,47,yes
39,0,174,42,1,83,878,yes
18,0,17,22,2,45,297,yes
0,0,30,43,2,93,121,no
0,0,4,4,2,25,17,no
0,0,13,26,2,84,45,no
1,0,13,10,1,35,49,no
0,0,10,10,1,70,35,no
1,0,9,42,2,66,42,no
0,3,0,0,1,0,3,no
4,1,6,1,2,100,33,no
2,0,6,1,2,100,37,no
3,0,2,2,3,100,15,no
14,0,25,10,1,73,125,no
3,0,16,3,2,100,75,no
6,0,42,174,4,92,188,yes
4,0,100,103,3,96,373,yes
1,0,90,49,1,93,234,yes
0,0,1,64,3,0,26,no
30,0,379,128,2,92,1635,yes
22,0,54,57,2,77,794,no
6,0,25,61,2,0,110,no
8,0,14,17,2,0,161,no
2,0,10,42,2,72,56,yes
0,0,35,62,3,92,130,no
5,0,18,58,2,0,72,no
7,0,7,13,2,0,59,no
9,3,55,63,2,96,197,yes
0,0,10,5,2,0,43,no
1,0,36,16,1,81,133,no
5,0,18,8,1,75,73,no
1,0,1,1,1,0,8,no
6,0,18,7,1,42,87,no
5,0,3,8,2,0,28,no
2,0,54,36,1,90,198,yes
0,0,13,26,2,78,49,yes
0,0,8,36,3,80,30,no
1,5,42,28,2,19,139,no
3,0,17,58,2,0,75,yes
1,0,4,10,2,0,41,no
9,0,33,63,2,72,138,no
7,0,7,13,2,0,58,no
5,0,19,60,2,0,79,yes
7,0,6,12,2,0,64,yes
0,0,8,36,3,80,30,no
2,0,2,4,2,0,49,no
4,14,12,3,1,0,83,no
1,0,3,2,1,0,27,no
1,0,6,6,3,0,26,no
0,0,1,4,2,0,4,no
0,0,11,6,2,66,42,no
2,0,11,6,2,33,60,no
0,0,6,5,2,40,30,no
2,0,3,4,2,0,55,no
2,0,4,4,2,0,69,no
4,0,4,9,2,33,38,no
21,0,27,7,1,57,132,yes
0,0,0,0,1,0,2,no
0,0,18,6,2,33,90,no
4,0,13,14,2,75,123,no
1,0,5,4,2,0,22,no
1,0,26,6,2,66,107,no
1,1,8,5,2,50,53,no
6,0,14,6,2,33,55,no
4,0,1,7,2,0,13,no
0,1,31,6,1,0,125,no
2,0,2,4,2,0,13,no
0,0,94,5,2,0,229,no
1,0,14,10,2,0,57,no
1,0,5,4,2,0,23,no
2,0,4,4,2,0,38,no
1,0,7,5,2,0,30,no
0,0,4,4,2,0,14,no
1,0,6,4,2,0,27,no
0,20,14,13,1,84,50,yes
7,0,17,6,2,66,96,yes
3,0,4,2,2,0,19,no
1,0,51,28,1,91,199,yes
17,0,108,17,2,0,360,yes
1,0,5,41,2,60,20,no
5,0,3,7,2,0,61,no
19,0,42,14,2,0,238,no
0,0,22,58,2,90,79,no
9,0,4,10,2,62,101,no
0,0,13,158,5,66,44,no
6,0,21,10,1,60,81,no
14,0,31,48,2,85,247,yes
2,0,9,44,2,62,44,no
2,0,2,2,2,0,11,no
1,0,1,1,2,0,6,no
17,3,30,12,1,80,165,no
0,0,4,4,2,0,14,no
0,2,36,36,1,94,142,no
18,0,76,22,1,77,365,yes
7,0,7,13,2,50,99,no
12,0,13,16,2,0,133,no
3,0,3,7,2,0,38,no
3,2,4,4,1,0,20,no
0,0,2,4,3,0,9,no
0,0,2,4,3,0,10,no
14,0,25,11,2,78,99,no
0,6,2,2,2,0,9,no
8,0,7,6,2,0,22,no
0,0,2,4,3,0,8,no
0,0,2,4,3,0,9,no
0,0,2,4,3,0,8,no
0,0,2,4,3,0,10,no
0,0,14,11,1,60,49,no
9,0,38,66,2,85,187,yes
5,0,8,14,2,58,85,no
11,0,146,81,2,65,610,yes
8,0,21,27,2,0,245,yes
4,0,16,58,2,100,65,yes
3,0,5,11,2,0,39,no
13,0,21,67,2,93,95,yes
20,0,97,83,2,90,403,yes
11,0,14,20,2,39,194,no
7,0,12,57,2,0,56,no
7,0,8,11,2,0,68,no
4,0,22,31,2,84,78,no
15,0,24,3,1,33,101,no
1,0,30,38,2,89,133,no
1,0,26,17,1,80,75,yes
15,0,29,15,1,75,108,no
8,0,10,13,2,42,99,no
11,0,61,57,2,90,270,yes
14,0,84,32,2,89,302,no
4,0,4,9,2,0,43,no
6,0,10,3,1,0,48,no
4,0,9,2,2,50,40,no
2,0,8,4,2,0,32,no
0,0,3,2,2,0,13,no
1,0,1,1,2,0,5,no
2,0,5,1,1,0,30,yes
11,0,12,3,1,66,56,no
3,0,4,1,1,0,28,no
0,0,8,7,2,64,33,no
3,0,11,5,1,19,46,no
7,0,8,2,2,50,43,no
0,0,50,56,2,94,196,no
6,0,120,105,2,97,417,yes
0,0,11,7,1,14,38,no
0,0,3,66,3,33,34,no
2,0,7,2,1,25,45,yes
4,0,23,61,2,0,117,no
2,0,9,10,2,0,39,no
0,0,8,21,2,75,29,no
19,0,101,59,2,86,463,yes
9,2,53,26,1,86,209,yes
1,0,30,41,2,60,146,yes
4,0,16,6,1,61,64,yes
3,0,14,9,1,81,89,no
4,0,56,46,1,95,210,yes
1,0,1,7,2,0,8,no
1,0,8,4,2,25,32,no
16,6,67,36,1,91,257,yes
7,0,11,4,1,50,48,no
3,0,46,37,1,89,186,no
2,0,24,16,1,86,100,no
8,0,27,62,2,75,110,yes
4,0,7,13,2,0,66,no
0,0,20,33,2,89,71,yes
14,0,9,9,2,50,51,no
15,0,37,10,1,72,188,yes
23,1,23,7,1,67,124,no
1,0,19,15,1,89,68,no
0,0,24,24,1,91,85,no
9,0,6,2,1,50,24,no
6,0,9,1,1,0,95,yes
0,0,21,2,1,0,57,yes
2,0,9,3,1,0,38,no
0,0,16,7,1,69,96,no
0,0,31,13,1,80,126,no
6,0,12,1,2,0,65,no
4,0,1,17,3,100,16,no
23,0,42,10,2,30,240,no
1,0,6,2,1,0,39,no
4,0,6,4,1,0,22,no
0,0,2,4,3,0,9,no
0,0,2,4,3,0,9,no
0,0,31,31,1,96,123,no
1,0,61,43,1,92,239,yes
1,0,26,17,1,86,90,yes
0,0,10,10,1,77,36,yes
2,0,15,11,1,80,53,no
0,0,8,8,1,75,30,no
0,0,61,49,1,94,201,no
4,0,67,49,1,94,226,no
0,0,31,24,1,87,103,no
0,0,13,13,1,84,46,no
0,0,22,22,1,89,85,no
1,2,103,111,2,97,363,yes
0,0,30,30,1,93,107,no
3,0,33,33,1,93,116,no
2,0,41,41,1,95,150,yes
1,0,8,8,1,75,34,no
0,0,16,16,1,87,62,no
0,0,12,12,1,81,46,no
1,4,40,16,1,75,165,no
1,0,22,12,1,81,69,no
3,0,99,92,2,96,334,yes
0,0,12,12,1,87,47,no
0,0,30,30,1,93,107,no
1,0,56,50,1,96,204,yes
3,0,18,16,1,85,65,no
8,0,63,46,1,95,197,yes
0,0,34,34,1,94,121,no
1,0,52,52,1,96,183,yes
1,0,6,6,1,66,23,no
0,0,22,22,1,90,80,no
0,0,12,12,1,83,44,no
1,0,10,9,1,62,37,no
0,0,24,22,1,89,82,no
0,0,14,14,1,85,52,no
1,0,27,27,1,93,98,no
1,0,8,8,1,75,30,no
0,0,22,22,1,90,86,no
0,0,46,46,1,95,163,no
0,0,32,32,1,93,112,no
0,0,12,11,1,78,48,yes
0,0,22,22,1,90,79,yes
3,0,58,55,1,96,204,no
1,0,18,18,1,88,65,no
0,0,18,18,1,88,65,no
3,0,12,12,1,83,44,no
1,0,46,45,1,95,170,yes
1,0,28,28,1,92,100,yes
0,0,8,8,1,75,30,no
2,0,23,21,1,90,86,no
1,0,26,17,1,86,90,yes
2,0,74,63,1,96,252,no
1,0,14,14,1,78,50,no
4,0,120,96,1,97,402,yes
0,0,6,6,1,50,23,no
0,0,12,123,3,83,45,no
1,0,9,9,1,77,33,no
0,0,6,6,1,66,24,no
3,0,53,49,1,95,188,no
3,0,38,31,1,93,128,no
0,0,2,2,1,0,9,no
0,0,0,0,1,0,79,yes
1,0,30,11,1,0,125,yes
0,0,3,1,2,0,28,no
1,0,4,1,2,0,24,no
0,0,1,1,2,0,14,no
0,0,1,1,2,0,19,no
1,0,1,1,2,0,14,no
0,0,2,1,2,0,13,no
0,0,2,1,2,0,15,no
1,0,3,1,2,0,18,no
0,0,1,1,2,0,21,no
0,0,2,1,2,0,15,no
1,0,1,1,2,0,12,no
1,0,1,1,2,0,12,no
0,0,1,1,2,0,14,no
1,0,3,2,2,0,27,no
2,0,1,1,2,0,16,no
1,0,1,1,2,0,10,no
1,0,1,1,2,0,17,no
0,0,3,1,2,0,34,yes
0,0,3,1,2,0,23,no
0,0,1,1,2,0,16,no
0,0,1,1,2,0,17,no
1,0,9,4,2,0,39,no
6,0,22,7,2,71,147,yes
1,0,2,1,2,0,23,no
0,0,2,1,2,0,26,yes
0,0,2,1,2,0,12,no
1,0,1,1,2,0,13,no
0,0,1,1,2,0,18,no
0,0,1,1,2,0,15,no
1,0,1,1,2,0,15,no
1,0,5,2,2,50,34,no
0,0,1,1,2,0,12,no
1,0,4,2,2,0,30,no
0,0,1,1,2,0,12,no
0,0,1,1,2,0,18,no
1,0,1,1,2,0,13,no
0,0,1,1,2,0,11,no
1,0,1,1,2,0,14,no
1,0,1,1,2,0,16,no
3,0,3,1,2,0,49,no
2,0,1,1,2,0,13,no
0,0,1,1,2,0,12,no
0,0,1,1,2,0,26,no
0,0,2,1,2,0,30,yes
1,0,1,1,2,0,18,no
0,0,1,1,2,0,17,no
0,0,6,3,2,0,30,no
0,0,1,1,2,0,10,no
0,0,3,2,2,50,22,no
0,0,1,1,2,0,12,no
0,0,2,1,2,0,13,no
0,0,1,1,2,0,20,no
0,0,1,1,2,0,16,no
1,0,2,1,2,0,33,no
1,0,3,2,2,50,17,no
1,0,3,2,2,0,22,no
1,0,1,1,2,0,19,no
0,0,1,1,2,0,13,no
0,0,2,1,2,0,15,no
0,0,1,1,2,0,18,no
0,0,1,1,2,0,13,no
0,0,1,1,2,0,12,no
0,0,3,1,2,0,25,no
0,0,1,1,2,0,14,no
0,0,4,1,2,0,13,no
1,0,1,1,2,0,26,no
0,0,3,1,2,0,15,no
0,0,1,1,2,0,23,no
0,0,2,1,2,0,12,no
1,0,1,1,2,0,15,no
0,0,3,2,2,0,26,no
1,0,2,1,2,0,26,no
1,0,5,1,2,0,30,no
0,0,3,1,2,0,14,no
0,0,3,1,2,0,24,no
1,0,1,1,2,0,20,no
1,0,2,1,2,0,23,no
1,0,7,5,1,40,117,yes
1,0,3,2,1,0,12,no
1,0,6,1,1,0,15,no
1,0,4,3,1,33,17,no
1,0,2,1,1,0,8,no
0,0,3,1,1,0,10,no
2,0,53,24,1,86,162,no
1,0,9,3,1,0,30,no
0,0,2,4,3,0,9,no
1,0,2,1,2,0,12,no
3,0,12,7,2,78,77,no
4,0,3,3,2,50,72,no
7,0,19,8,1,0,58,no
1,0,3,2,1,0,78,yes
2,0,33,13,1,53,99,no
3,0,21,9,1,55,64,no
2,0,13,7,1,57,31,no
0,4,2,2,2,0,8,no
19,0,55,47,1,93,247,yes
4,0,14,10,1,0,58,no
0,0,21,7,1,90,91,no
4,0,2,2,1,50,70,no
9,0,38,16,1,0,144,no
43,0,173,100,1,100,1400,yes
4,0,16,8,1,0,276,yes
0,0,23,19,1,88,83,no
12,0,192,74,1,98,702,yes
4,0,8,23,1,0,78,no
1,0,1,1,2,0,7,no
1,0,1,1,2,0,7,no
1,0,1,1,2,0,6,no
1,0,2,2,1,0,8,no
14,0,26,6,1,83,99,no
2,0,26,26,1,91,93,no
1,0,4,3,2,50,39,no
0,0,1,1,1,0,63,yes
2,0,9,7,2,64,59,no
2,0,8,5,2,44,93,no
2,0,8,5,2,33,70,no
2,0,3,2,2,50,34,no
8,0,3,4,2,0,55,no
1,0,4,3,2,0,36,no
3,0,3,2,2,0,20,no
2,0,3,2,2,0,23,no
0,0,1,1,2,0,8,no
0,0,16,13,2,69,115,no
3,0,3,1,2,0,20,no
0,0,18,15,2,68,122,yes
2,0,7,3,2,50,49,no
0,0,5,3,2,50,24,no
1,0,6,2,2,0,25,no
0,0,1,1,2,0,21,yes
7,0,23,2,2,0,157,no
11,0,38,9,2,70,213,no
5,0,7,4,2,60,90,no
3,0,5,2,2,25,54,no
0,20,5,4,2,0,19,no
1,0,3,2,2,50,31,no
2,0,2,2,2,0,40,yes
1,0,1,1,2,0,4,no
6,0,4,4,2,58,93,no
3,0,2,1,2,0,34,yes
9,0,9,2,2,50,48,no
1,94,1,1,2,0,17,no
2,0,9,6,2,66,37,no
9,0,7,5,2,11,152,no
10,0,15,14,2,72,272,no
13,0,36,8,2,66,538,no
2,0,2,1,2,0,83,no
2,0,7,5,2,65,57,no
2,0,15,9,2,74,61,no
3,0,4,4,2,62,61,no
1,0,9,5,1,60,23,no
5,0,13,9,2,77,102,no
7,0,4,3,2,66,60,no
5,0,20,12,2,75,137,no
10,0,30,15,2,85,121,no
4,0,4,10,3,66,31,no
10,10,13,7,2,64,82,no
2,0,1,1,2,0,57,no
8,0,8,13,3,83,127,no
8,0,13,13,3,72,180,no
8,0,7,12,3,70,74,no
6,0,5,9,3,50,41,no
2,0,8,3,2,50,196,no
7,0,12,9,2,77,186,no
7,0,4,3,2,66,64,no
4,0,5,3,2,66,39,no
4,0,5,2,2,50,40,no
5,0,4,2,2,50,25,no
8,0,17,4,2,62,95,no
4,0,4,7,3,50,45,no
3,0,1,1,2,0,63,no
7,0,14,7,2,57,161,no
6,0,3,2,2,16,34,no
13,0,4,2,2,25,78,no
2,0,3,6,3,50,13,no
2,0,5,7,3,33,35,no
4,0,6,4,2,54,99,no
29,0,75,27,2,92,488,yes
5,28,5,4,2,62,29,no
7,0,9,6,2,62,96,yes
10,0,12,3,2,75,72,no
22,0,63,39,2,90,297,yes
5,2,10,4,2,62,52,no
5,0,8,9,3,50,167,no
11,0,9,6,2,70,154,yes
12,0,58,9,2,79,543,yes
6,0,7,3,2,33,95,yes
9,0,16,7,2,68,354,no
11,0,4,2,2,0,69,yes
12,0,27,2,2,0,163,yes
12,0,23,4,2,0,762,yes
3,0,24,13,2,69,102,no
16,4,99,52,3,93,730,yes
7,0,56,40,2,90,343,yes
6,0,33,5,1,0,139,no
