@relation 'mina data 2.0.7-2.0.8'

@attribute CBO numeric
@attribute NOC numeric
@attribute WMC numeric
@attribute RFC numeric
@attribute DIT numeric
@attribute LCOM numeric
@attribute SLOC numeric
@attribute change {no,yes}

@data
1,0,4,53,0,100,15,no
10,0,12,391,2,66,74,no
25,2,181,194,0,98,225,no
4,0,1,14,0,66,47,no
34,0,40,53,0,0,1049,no
0,0,0,13,0,0,2,no
23,1,176,370,1,0,800,no
3,0,4,17,0,0,66,no
5,0,11,390,2,9,46,no
7,0,7,20,0,0,86,no
4,1,8,21,0,65,43,no
5,0,3,24,1,33,16,no
22,0,29,42,0,67,334,no
7,0,10,23,0,70,41,no
1,0,4,53,0,100,14,no
3,0,1,33,1,0,23,no
4,0,1,14,0,0,7,no
5,0,7,39,1,0,31,no
9,1,13,45,1,84,71,no
12,0,12,44,1,66,87,no
1,0,1,14,0,0,6,no
7,0,11,43,1,0,58,no
12,0,7,20,0,0,165,no
1,0,2,15,0,50,8,no
2,0,2,88,0,25,10,no
14,0,12,25,0,70,225,no
5,0,3,32,1,0,12,no
8,0,10,39,1,9,49,no
14,0,4,17,0,37,139,no
13,0,13,26,0,92,101,no
7,0,5,50,2,60,32,no
1,1,4,53,0,100,15,no
6,0,3,40,2,0,24,no
3,1,5,37,1,0,22,no
29,0,3,16,0,66,89,no
5,0,3,23,1,33,16,no
4,0,2,22,1,0,11,no
7,0,9,22,0,76,75,no
1,0,2,15,0,0,10,no
3,0,7,20,0,0,29,no
2,6,29,42,0,91,150,no
4,0,4,17,0,50,27,no
6,0,2,15,0,0,109,no
7,0,10,23,0,19,73,no
7,0,8,21,0,25,26,no
5,0,11,24,0,50,48,no
1,0,1,14,0,0,4,no
2,0,2,15,0,75,12,no
7,0,4,17,0,66,62,no
7,0,4,17,0,50,36,no
3,0,2,15,0,0,7,no
10,1,7,20,0,71,68,no
1,0,4,53,0,100,15,no
1,0,4,53,0,100,13,no
3,0,8,68,1,100,26,no
11,3,12,60,0,58,64,no
5,3,8,21,0,12,31,no
3,0,8,68,1,100,26,no
3,0,8,68,1,100,26,no
2,0,3,16,0,58,25,no
12,0,7,27,1,52,96,no
21,0,5,18,0,46,60,no
12,0,5,755,0,76,57,no
29,0,14,738,0,89,192,no
4,0,1,34,0,100,6,no
11,0,1,34,0,100,23,no
5,0,1,34,0,100,11,no
4,0,1,34,0,100,8,no
6,0,4,24,1,0,50,no
