@relation 'subsonic 5.1-5.2'

@attribute CBO numeric
@attribute NOC numeric
@attribute WMC numeric
@attribute RFC numeric
@attribute DIT numeric
@attribute LCOM numeric
@attribute SLOC numeric
@attribute change {no,yes}

@data
5,0,11,7,1,52,88,no
0,0,3,3,1,33,13,no
5,0,16,6,1,50,79,no
0,0,7,7,1,71,29,no
3,0,5,3,1,0,40,no
4,0,2,2,1,0,14,yes
0,0,5,5,1,60,25,no
0,0,11,11,1,81,55,yes
14,0,19,9,1,75,92,yes
1,0,3,3,1,33,48,yes
13,0,27,21,1,76,160,yes
0,0,9,9,1,77,142,yes
16,0,68,49,1,93,358,yes
0,0,3,3,1,33,14,no
4,0,5,5,1,50,21,no
6,0,10,3,1,33,64,no
3,0,2,1,1,0,10,no
0,0,3,3,1,33,14,no
2,0,2,2,1,0,13,no
0,0,26,26,1,92,93,no
0,0,3,3,1,33,14,no
1,0,38,38,1,94,135,no
1,0,16,16,1,87,120,no
1,0,12,12,1,83,44,no
0,0,10,10,1,80,36,no
4,0,42,42,1,95,149,yes
5,0,43,40,1,95,167,yes
0,0,10,10,1,80,37,no
2,0,14,14,1,85,51,no
2,0,16,16,1,87,82,no
3,0,55,53,1,95,201,no
0,2,3,3,1,0,14,no
2,0,8,3,2,0,48,no
0,0,1,1,2,0,7,no
1,0,1,1,1,0,26,yes
4,0,9,4,1,50,34,yes
6,0,11,4,2,37,71,no
2,0,4,2,2,0,26,no
15,0,39,16,1,85,342,yes
1,0,4,2,2,0,22,no
2,0,7,5,2,50,38,no
17,0,45,15,1,84,223,yes
6,0,6,4,2,50,119,no
8,0,13,6,2,62,64,no
3,0,7,3,2,0,71,no
3,0,5,3,2,33,39,no
6,0,24,9,1,77,115,no
2,0,4,1,2,0,27,no
11,0,40,18,2,82,245,yes
3,0,8,3,2,33,41,no
2,0,14,5,2,40,63,no
3,0,18,10,1,73,101,no
16,0,25,13,2,74,152,yes
0,0,1,1,2,0,10,no
8,0,14,7,1,66,66,no
11,0,43,14,2,77,178,yes
7,0,7,5,2,60,45,no
8,0,30,14,2,69,165,yes
8,0,16,9,2,73,76,no
3,0,5,4,2,37,32,no
5,0,7,4,2,50,28,yes
3,0,3,3,2,0,22,no
7,0,18,7,2,64,112,yes
9,0,15,7,2,47,88,yes
6,0,5,4,2,50,33,yes
6,0,4,4,2,50,30,yes
7,0,9,4,2,50,78,no
4,0,16,4,2,25,56,no
8,0,5,4,2,50,32,no
3,0,4,4,2,37,28,no
4,0,4,4,2,37,30,no
0,0,2,1,1,0,23,no
5,0,8,4,2,50,45,no
0,0,6,6,1,50,21,no
63,0,309,107,2,92,1715,yes
3,0,3,3,2,33,20,yes
10,0,7,6,2,66,46,yes
3,0,3,2,2,0,17,no
4,0,5,4,2,50,25,no
2,0,3,2,2,0,11,no
11,0,18,9,2,74,78,yes
8,0,18,10,2,70,93,no
8,0,6,6,2,66,45,yes
4,0,10,5,2,0,78,no
3,0,6,2,2,0,79,no
24,0,66,20,1,89,291,yes
1,0,3,3,2,0,71,yes
5,0,6,4,2,50,34,yes
3,0,19,6,2,50,87,no
11,0,24,6,2,66,159,no
2,0,9,7,2,50,71,no
7,0,16,10,2,60,104,no
6,0,6,5,2,60,54,yes
16,0,32,17,2,83,146,yes
2,14,23,12,1,83,76,no
4,0,26,29,2,35,133,no
3,0,14,23,2,63,74,no
2,0,5,16,2,25,30,no
2,0,5,16,2,50,32,no
24,0,8,5,1,73,52,yes
10,6,8,5,2,77,57,no
3,0,4,16,2,75,28,no
2,0,5,10,3,0,41,no
7,0,34,39,2,77,230,yes
3,0,4,16,2,75,29,no
2,0,5,10,3,0,40,no
4,0,11,20,2,68,98,yes
6,0,9,14,3,0,121,yes
4,0,17,23,2,63,86,no
4,0,9,21,2,83,66,no
4,0,14,19,3,0,159,no
2,0,9,16,2,0,35,yes
0,21,6,4,1,0,27,no
1,0,5,5,2,0,49,no
2,0,8,5,2,0,70,no
1,0,3,5,2,0,21,no
1,0,5,5,2,0,74,no
1,0,3,5,2,0,22,no
2,0,4,5,2,0,21,no
1,0,4,5,2,0,19,no
1,0,7,5,2,0,56,no
1,0,3,5,2,0,14,no
1,0,4,5,2,0,18,no
1,0,14,6,2,0,98,no
1,0,3,5,2,0,14,no
1,0,7,5,2,0,38,no
1,0,4,5,2,0,19,no
1,0,2,5,2,0,11,no
1,0,5,5,2,0,24,no
1,0,4,5,2,0,40,no
1,0,5,5,2,0,44,no
1,0,14,5,2,0,197,no
1,0,6,5,2,0,31,no
1,0,4,5,2,0,25,no
3,0,9,20,2,75,52,no
3,0,7,18,2,66,49,no
4,0,8,13,3,0,95,no
7,0,44,25,2,84,240,yes
6,0,9,13,3,0,190,yes
0,0,32,32,1,90,127,no
0,0,14,14,1,78,54,no
0,0,8,8,1,75,39,no
0,0,15,15,1,80,60,no
0,0,7,7,1,71,32,no
1,0,1,1,2,0,11,no
